answer,question
Kimyager,Maddenin içeriğini ve davranışını inceleyen uzman
Takofobi,Yüksek hızdan korkma hastalığı
Asilzade,Soylulara yönelik bir hitap şekli
Kopernik,Modern astronominin kurucusu sayılan bilim insanı
Semizotu,"Salatası ve yemeği yapılan yeşil, ekşi bitki"
Esirgeme,"Koruma, kollama, himaye etme"
Bile bile,"Kasıtlı olarak, isteyerek anlamında ikileme"
Iradesiz,"Karar verme yetisi bulunmayan, istenç yoksunu"
Larenjit,Gırtlak iltihaplanması
Sipersiz,Bu türde şapkalara kep denir
Muafiyet,Bir konuda yükümlü olmama; hariç tutulma
Yoğurt,İçine maya katılarak koyulaştırılan süt ürünü
Planet,"Daily __, Clark Kent'in çalıştığı gazete"
Mukoza,Sümük salgılanmasını sağlayan zar
Mikyas,Kesiti üçgen prizmayı andıran cetvel tipi
Senseı,Uzak Doğu sporlarında eğitmene hitap şekli
Kayzer,Alman imparatoru
Sagopa,"__ Kajmer, Türk rapçi"
Kerpiç,Duvar örmede kullanılan kurutulmuş samanlı çamur
Kalmaz,Uçan kuş aç __
Otoban,Şehirler arası geniş yol
Kaptan,Sporda takım lideri
Manisa,Mesir macunu şenlikleri bu ilde yapılır
Periyot,Basketbolda genelde 10 dakika süren zaman aralığı
Kristal,Billur
Teselli,"Hayal kırıklığı, üzüntü ve acı sonrası aranır"
Kırk beş,Futbol maçında bir devrenin dakika olarak süresi
Opusdeı,Da Vinci Şifresi kitabında adı geçen tarikat
Tarator,Deniz mahsulleriyle iyi giden sos
Ölümsüz,Gerçek aşkın ve vampirlerin böyle olduğu söylenir
Erçetin,"Candan __, Galatasaray Lisesi'nin müzik öğretmeni"
Anırmaz,Yük altında eşek __
Sigorta,"Kasko, bunun bir türüdür"
Anahtar,Kilit açma aracı
Yelpaze,Manuel vantilatör
Tedavül,"Ticari ürünlerin dolaşımı, sirkülasyon"
Davranış,Organizmanın uyaranlara karşı tepkilerinin tümü
Sıkı dost,Yediği içtiği ayrı gitmeyen arkadaş
Rapunzel,Uzun saçlarıyla ünlü masal kahramanı
Varagele,Halatın iki ucu arasında ulaşım sağlayan sistem
Bitmesin,Gökhan Türkmen'in 2012 çıkışlı hit olmuş şarkısı
Kamuflaj,Bukalemunlar bu işin uzmanıdır
Atasever,"Vildan __, Kadın İsterse dizisinin Buket karakteri"
Tekerlek,Dönerek taşıtın yürümesini sağlayan çember parça
Kasparov,"Garry __, ünlü Rus satranç büyükustası"
Menisküs,Dizin kıkırdak yapısında oluşan yaralanma
Ergenlik,Hormonal değişimlerin tavan yaptığı gençlik çağı
Şişirmek,Futbolda topu uzun bir mesafeye havadan yollamak
Öğretmen,Öğrencilere ders veren uzman kişi
Smaç basma,Voleybolda küt vurma
Steınbeck,"John __, İnci ve Gazap Üzümleri'nin yazarı"
Göğebakan,"Murat __, Ay Yüzlüm şarkısını söyleyen sanatçı"
Ishak paşa,Kalorifer sistemli ilk saray
Perakende,Ticari malların parça parça tüketiciye satılması
Arakçılar,Hirokazu Koreeda'nın Altın Palmiye'li filmi
Fevkalade,Beklenenin çok üzerinde olan
Kekemelik,Konuşma akıcılığının bozukluğu
Sismograf,Yer hareketlerini kaydeden ölçüm aygıtı
Salyangoz,Sarmal kabuklu küçük bir hayvan
Yarısıdır,"Teyze, ana __"
Doktorlar,Yazın habercisi Show TV dizisi
Megaloman,Kendisine üstün nitelikler yakıştıran kişi
Heımdallr,İskandinav mitolojisinde ışık tanrısı
Deplasman,Takımın rakip sahada maça gitmesi
Anahtarcı,"Kapı kilidini açan kişi, çilingir"
Kargayı,"Besle __, oysun gözünü"
Kikirik,Hayat Bilgisi dizisinde çok gülen bir tipleme
Irlanda,Eurovision’da en çok birinci olan ülke
Anekdot,"Öykümsü niteliği olan kısa anlatı, fıkra"
Program,İşlerin yapılış zamanı ve sırası
Donanma,Deniz kuvvetlerinin gemilerinin tamamı
Aksaray,Ihlara Vadisi bu ildedir
Obezite,Sağlıksız kilo almanın tıptaki adı
Kaynana,"__ dili, yaygın bir kaktüs türü"
Grotesk,Eski Roma'da kullanılan bir süsleme üslubu
Cıranta,Senet ya da çekin arkasındaki imza sahibi
Jüpiter,Güneşe yakınlık olarak beşinci sıradaki gezegen
Rafting,Azgın sularda yapılan spor
Kutluay,"Eski milli basketbolcu, İbrahim __"
Janset,Yarım elma dizisinde Yonca karakterini canlandırdı
Viskoz,İpliklerden örülmüş kumaşların genel adı
Matrıx,Keanu Reeves bu seride Neo karakterini oynadı
Yasama,Amasya kelimesinin anagramı
Yarası,__ olan gocunur
Ekenek,Tohumları gömmek için ayrılmış yer
Alacak,Borç verdiğimiz kişiden olan hakkımız
Kilolu,Vücut ağırlığı fazla olan
Yüklem,Cümlede hareket bildiren kelime
Gılgamış,"Çivi yazısıyla yazılmış, tarihin en eski destanı"
Ara tatil,Kışın verilen eğitim-öğretim molası
Taşıma su,Atasözünde geçen değirmeni döndüremeyen sıvı
Kışlık ev,Yazlıkçıların tatil bitince gittiği yer
Jak kamhi,Profilo Holding'i kuran işadamı
Meathead,Tom ve Jerry'de Tom'un rakibi olan kedi
Müzisyen,"Notaların diliyle konuşan sanatçı, bestekar"
Cevapsız,"Yanıt verilmemiş, karşılıksız"
Ferhunde,"1993-1999 arasında yayınlanan dizi, __ Hanımlar"
Adiller,Albert Camus'nün Moskova'da geçen oyunu
Nitelik,Bir şeyin ayırt edici özelliği
Doğurma,Memelilerin dünyaya yavru getirme şekli
Intizam,"Tertipli olma durumu, düzgünlük"
Dostluk,Ahbaplık
Alamete,Bindik bir __ gidiyoz kıyamete!
Limitet,En az 2 en fazla 50 kişiyle kurulan şirket türü
Ambarcı,Tahıl saklanan depo sorumlusu
Malzeme,Bir işin tamamlanması için kullanılan eşya
Çarpışmak,Silahlı çatışmaya girmek; vuruşmak
Eşanlamlı,Aynı manaya sahip kelimelerden her biri
Sultan han,Türkiye'nin en büyük Selçuklu kervansarayı
Problemli,"Devamlı sorun çıkaran, sorunlu"
Örnek olma,"Emsal meydana getirme, model oluşturma"
Örgütleme,Belirli bir amaç için insanları bir araya getirme
Suyun sesi,Guillermo del Toro'nun 2018'de Oscar kazanan filmi
Amaçlamak,Gaye edinmek
Eğitimsiz,Bir konuda bilgi ve beceriye sahip olmayan
Dadaloğlu,Avşar Elleri adlı şiiri yazan halk kahramanı ozan
Çekiliş,İkramiye kazananları belirlemek için yapılan işlem
Usta işi,Ehil biri tarafından yapılmış; mahir birinin eseri
Azaplar,Osmanlı'daki garnizon askerleri
Ala keçi,Atasözünde geçen püsküllü oğlak doğuran hayvan
Armağan,Birine verilen ödül veya hediye
Otuz beş,Cahit Sıtkı Tarancı'nın yolun yarısı dediği yaş
Anoloji,Ortak yönleri bulunan şeyler arasındaki benzeşme
Kapuska,Lahanayla yapılan bir tür yemek
Monopol,Piyasanın tek bir firmanın elinde bulunması
Tortilla,Meksika kökenli lavaş
Makinesi,"Hesap yaparken kullanılan dijital alet, hesap __"
Akpınar,"Zeki Alasya'nın ekürisi, Metin __"
Menenjit,Beyni ve omuriliği saran zarların enfeksiyonu
Hayri gür,Trabzon'daki 7500 kişi kapasiteli spor salonu
Güncelik,İçine deneyim ve anıların yazıldığı defter
Tükürmek,Ağızdan dışarı atmak
Sosyopat,Duygu ve empatiden yoksun kişilik bozukluğu
Harfiyen,Tamı tamına; en ince detayına kadar
Eğitimci,"Öğretmen, profesör vb. için kullanılan genelleme"
Cıvıtmak,Ciddiyetini kaybetmek; işi sulandırmak
Ademoğlu,İnsanın halk dilindeki adı
Basireti,__ bağlanmak; Doğru bildiği şeyi yapamamak
Yönetmen,"Film çekimlerinde ""Kestik!"" der"
Otokrasi,Bu tip yönetimde siyasal güç tek kişide toplanır
Urbanizm,Şehirlerin sorunlarıyla ilgilenen bilim dalı
Eşekarısı,Çok konuşanın dilini sokması temenni edilen böcek
Bodoslama,Suya kaba bir dalış biçimi
Karşıyaka,Eski adı Kordelya olan İzmir ilçesi
Dayanışma,Toplumun zorluk karşısında ortak hareket etmesi
Acıduymak,Bir olaya çok üzülmek; canı yanmak
Süvari bey,Geminin kaptanının unvanı
Doğrulmak,"Oturduğu yerden kalkıp, dik duruma gelmek"
Ayşe tolga,Seksenler ve Ayrılsak da Beraberiz'de oynadı
Konsolide,Vadesi uzatılan borç için kullanılan sıfat
Rezistans,Elektrikli fırının içerisindeki ısıtıcı çubuk
Becerikli,"Hünerli, marifetli"
Pilav günü,Eski mezunları buluşturan yemekli etkinlik
Okunaksız,Özensiz ve kötü bir şekilde yazılmış olan yazı
Kontralto,Eğitimi en zor olan kalın kadın sesi
Kudret,"Güç, erk anlamında bir erkek ismi"
Mesire,Dolaşılabilecek gezinti yeri
Vurgun,Derin sularda basınç sebebiyle görülen hastalık
Misyon,Şirketlerde vizyonla beraber tanımlanan amaç
Ergene,Edirne'de yer alan tarihi Uzun Köprü'nün eski adı
Bambam,Çizgi dizi Taş Devri'nde Moloztaşların bebeği
Grunge,Hardcore punk ile heavy metal tarzının birleşimi
Alpler,Avrupa'nın en uzun sıradağları
Yalnız,"Yanında hiçkimse olmayan, tek başına"
Miladi,Dünyada en fazla kullanılan takvim çeşidi
Umutlu,Bir konuda olumlu beklentileri olan
Yakmak,Ateşe vermek
Tanıklık,Bir olayı gören kişinin mahkemede üstlendiği görev
Dört köşe,Çok sevinçli olanların girdiği geometrik biçim
Tahrifat,Bir yapının aslını bozmak
Sanayici,Endüstri alanında girişimi bulunan iş insanı
Voleybol,Altışarlık takımlarla file üzerinden oynanan oyun
Broadway,Müzikalleriyle ünlü New York City yöresi
Akbayram,"Edip __, Kuşlar adlı şarkıyı söyleyen sanatçı"
Mozambik,Bayrağında bir tüfek resmi olan Afrika ülkesi
Boylamak,"Hapsi __, cezaevine konulmak"
Frenleme,Kontrolünü kaybeden kişiyi dizginleme
Sabıkalı,Adli sicili bozuk kimse
Yüznumara,Halk dilinde tuvalet
Pavarottı,"Luciano __, Ankara'da da sahne almış İtalyan tenor"
Haksızlık,Adaletten uzak davranış
Kriptonit,"Superman'i elden ayaktan düşüren yeşil, parlak taş"
Laledevri,Nedim'in şairi olduğu edebi dönemi
Damga pulu,Kira kontratlarına yapıştırılan değerli kağıt
Icapçılık,Çağrılmayı evde bekleme şeklindeki doktor nöbeti
Koşu bandı,Evdeki maraton pisti
Anlayışlı,"Hoşgörülü, sağduyulu"
Baş parmak,Otostop çekerken havaya kaldırılan el parçası
Incelemek,Detaylı bir şekilde gözden geçirmek
Civcivler,Ufak at da __ yesin
Istikamet,"Askerde yenen bol koşturmacalı, kaotik ceza"
Medusa,Mitolojideki yılan saçlı kız kardeşlerin en ünlüsü
Taklit,Bir örneğe benzemeye çalışma
Hubble,En bilinen uzay teleskobunun adı
Portre,İnsan yüzünün betimlendiği resim ve fotoğraf türü
Cebbar,Güçlü ve acımasız kişiler için kullanılan tanım
Havyar,Meze olarak yenen balık yumurtası
Evreka,Arşimet'e atfedilen ünlü bir ünlem
Matine,Sinemada gündüz gösterimi
Abaküs,Toplama ve çıkarma için kullanılan boncuk dizisi
Harran,Antik üniversitesi ile bilinen Urfa ilçesi
Örtülü,Cumhurbaşkanına tanınan özel bir ödenek
Kürtaj,İstenmeyen gebelikte cerrahi müdahale
Riyala,Osmanlı donanmasında tuğamirale eş rütbe
Komposto,Meyvelerin suyla kaynatılmasıyla yapılan içecek
Beatrice,Dante'nin ilham perisi
Penaltı,Hakemin orta noktayı işaret ettiği ceza atışı
Tezene,Bağlama aletinin mızrabı
Kıbrıs,Yarısında Türklerin yaşadığı ada
Mersin,İçel'in merkez ilçesi
Bağlama,"Altı telli, Türklere özgü müzik aleti"
Semaver,"Musluklu, büyük ısıtıcı çaydanlık"
Winfrey,"Oprah __, Amerikalı ünlü talk show sunucusu kadın"
Turkuaz,Yeşile yakın açık mavi renk tonuna verilen ad
Amasra,Cenova Şatosu'nun bulunduğu Bartın ilçesi
Davutoğlu,"Ahmet __, Stratejik Derinlik kitabının yazarı"
Larry king,CNN kanalında 25 yıl boyunca talk show sunan kişi
Çok özel,Medyum Memiş'in Medyum Keto'yu tokatladığı program
Ihlamur,Çayı kış aylarında şifa olarak içilir
George,Amerikan başkanlığı yapmış Bush'ların adı
Terazi,Ağırlık ölçmeye yarayan mekanizmalı araç
Arsonfobi,Yangından ve ateşten korkma
Sensör,Hareket algılayarak çalışan düzenek
Fethiye,Kabak Koyu'na evsahipliği yapan Muğla ilçesi
Nakarat,Şarkıların tekrar edilen kısmı
Palmiye,Bir kurabiyeye adını veren ağaç türü
Habbeyi,__ kubbe yapmak; Küçük olayları fazla büyütmek
Clive owen,Hepsini Vur filminin Smith'i
Final four,Bir turnuvada yarı finale kalan son dört takım
Kişisel,"Birinin kendisi ile ilgili, ona ait olan özellik"
Ikizler,Astrolojik sıralamaya göre üçüncü burç
Meltem,Deniz kıyılarında görülen serinletici rüzgar
Milföy,Fransızcada bin yaprak anlamına gelen hamur türü
Meg ryan,Fransız Öpücüğü'nde Jena Reno'ya eşlik eden aktris
Hatasız,__ kul olmaz
Moskova,Metrosuyla ünlü bir başkent
Fethiye,Kabak Koyu'nun bulunduğu Muğla ilçesi
Kokteyl,İçeceklerin karıştırılmasıyla yapılan yeni içecek
Greyder,Toprağı kazan ve düzelten bir iş makinesi
Taşeron,"Bir firma adına iş yapan firma, alt yüklenici"
Soytarı,Sarayda kralı güldürmekle görevli kişi
Kaçakçı,Yasa dışı mal alıp satan kişi
Münzevi,"İnsanlardan uzaklaşıp, yalnız yaşamayı tercih eden"
Arzum onan,1993 yılında Türkiye ve Avrupa güzeli seçilmiştir
Asırlık,Bir yüzyılı devirmiş
Piramit,Mısır firavunlarının mezarlarının şekli
Moskova,Kızıl Meydan'ın bulunduğu Rusya şehri
Izdivaç,Eski dilde evlenme
Hiyerarşi,Bir kurum ya da örgütte ast üst ilişkisi
Teleferik,Havada gerilmiş halat üzerinde ilerleyen taşıt
Alfabetik,Harf sırasına göre dizilmiş liste
Ayşekadın,Bir hanımın adını taşıyan yeşil fasulye cinsi
Sere serpe,Alabildiğine rahat yatış şekli
Cihannüma,Eski dilde dünya haritası
Stoklamak,Ucuzlayan bir ürünü ihtiyaçtan fazla alıp saklamak
Ortodonti,Dişlerin yerleşimini düzelten hekimlik dalı
Adımsayar,Ne kadar yüründüğünü görmek için kola takılan alet
Cilalı ibo,Feridun Karakaya'nın peltek Yeşilçam karakteri
Astroloji,Yıldızlara bakarak geleceği görme sanatı
Ziyaretçi,"Bir müzeyi, sergiyi görmeye giden kişi"
Ceylan,Gözlerinin güzelliği ile bilinen bir hayvan
Gececi,İşe hava karardıktan sonra başlayan görevli
Panama,Kuzey ve Güney Amerika arasındaki kanal ülkesi
Ustura,Berber çırağı bununla balonu tıraş edip sınav olur
Şovmen,Gösteri yapan adam
Kimlik,Vatandaşlık bilgilerinin yazılı olduğu küçük belge
Biruni,Orta Asya'da doğmuş ünlü gökbilimci ve matematikçi
Reyhan,"Fesleğene benzeyen, mor renkli bitki"
Balata,Motorlu araçlarda durmayı sağlayan fren parçası
Incirlik,Amerikan askeri üssü bulunan Adana ilçesi
Efendisi,"Yüzüklerin __, 3 kitaptan oluşan gerçeküstü roman"
Lafazan,Çok ve gereksiz konuşan kişi; geveze
Survivor,"Dominik'te çekilen, TV8'in yarışma programı"
Mermer,Banyoda ve mutfakta kullanılan doğal taş
Korutürk,"Fahri __, Türkiye'nin altıncı cumhurbaşkanı"
Kızartma,Kızgın yağda pişirilen
Sübvanse,"__ etmek, bir şirkete parasal destek vermek"
Konçerto,Sanatçının enstrümanda ustalığını gösteren eser
Hıdırlık,Antalya'da yer alan alt kısmı kare şeklindeki kule
Aloevera,Kozmetikte kullanılan şifalı bir bitki
Dikenine,Gülü seven __ katlanır
Pesimist,Kötümser bakış açısına sahip kimse
Titreşim,"Eskiden, MSN'de sohbet edilen kişiyi dürtme şekli"
Çöpçatan,Evlenmek isteyenleri tanıştıran kişi
Tirbuşon,Mantardan yapılan tıpaları çekmeye yarayan nesne
Kızartma,Kızgın yağda pişirilen yemek türü
Hacivat,Karagöz oyunundaki bilgiç karakter
Forklift,"Yükleri kaldıran, taşıyan, istifleyen makine"
Espadril,"Tabanı hasırdan, bez ayakkabı türü"
Sarımsak,"Tansiyon düşürmede etkili, kokulu bir sebze"
Lejyoner,Roma ordusundaki paralı askerlere verilen ad
Filateli,Pul koleksiyonculuğu
Yönetmen,Rejisör
Harlama,Ateşi arttırma çabası
Papatya,Çayı ve falı ile meşhur olan çiçek
Ulysses,James Joyce'un 1922'de yayınlanan romanı
Uvertür,Perde açılmadan önce çalınan açılış parçası
Maskara,Kirpikleri belirginleştiren makyaj malzemesi
Reyting,Televizyon programlarının izlenme oranı
Sinerji,Bir iş için birleştirilen güçlerin ortak enerjisi
Bolivya,Dünyanın en büyük tuz gölünün bulunduğu ülke
Harlama,Yakılan ateşi artırma çabası
Avrasya,İstanbul'da iki kıtayı birleştiren tünel
Papatya,Çayı ve falı ile bilinen çiçek
Cimcime,Sevimli ve konuşkan kız çocuğu
Mevzuat,Bir ülkedeki yasa ve yönetmeliklerin tamamı
Açgözlü,Mala mülke doymak bilmeyen
Zargana,"Sivri burunlu, yılan gibi ince yapılı bir balık"
Karamel,Eriyen ve kahverengileşen şeker
Embriyo,Anne karnındaki bebeğin ceninden önceki hali
Piyango,Yılbaşında büyük ikramiye veren çekiliş
Beckham,"David __, Gol filminde oynayan ünlü futbolcu"
Kızılay,Afet durumunda halka yardım eden devlet kurumu
Kılıbık,"Karısının sözünden çıkamayan, korkak erkek"
Hacamat,Kan almaya dayalı geleneksel tedavi yöntemi
Kanada,En uzun sahil şeridine sahip ülke
Aborda,Teknenin bir iskeleye yanaşması
Mendil,Özellikle burun silmeye yarayan bez aksesuar
Terhis,Askerlik görevinin bitmesi ile serbest bırakılmak
Yukarı,"Binlerce balonun bir evi uçurduğu film, __ Bak"
Kısmen,"Tamamen değil, bir bölümü ile anlamındaki kelime"
Işbaşı,Bir yerde çalışmaya başlama
Yazıcı,Bilgisayardaki metni kağıda döken araç
Hafıza,"Beynin hatırlayan bölümü, bellek"
Jülyen,Yiyecekleri ince uzun şekilde doğrama biçimi
Guevara,"Ernesto Che __, Güney Amerikalı sosyalist devrimci"
Yelken,Tekneyi rüzgar gücüyle kullanmaya dayalı spor
Anadolu,"__ Grubu, Coca Cola'nın Türkiye üreticisi"
Van gölü,İçinde canavar yaşadığı rivayet olunan göl
Penguen,"Antarktika'da yaşayan, uçamayan kuş türü"
Bakarız,Bir teklife karşılık verilen zamana bırakma cevabı
Muşamba,Kolay silindiği için tercih edilen masa örtüsü
Divriği,Zengin demir yataklarının bulunduğu Sivas ilçesi
Midilli,Küçük at cinsi
Panayır,Eğlence için düzenlenen kasaba fuarı
Siyakat,Osmanlı'da maliyecilerin kullandığı şifreli yazı
Abonman,Belediye otobüslerinde geçen aylık bilet
Daktilo,Mürekkep kullanarak yazı yazan klavyeli alet
Hamarat,"Marifetli, elinden iş gelen"
Çarşıya,Evdeki hesap __ uymaz
Akciğer,Kanı oksijenle buluşturan organ
Mandala,Çizip boyamaya dayalı meditasyon sanatı
Şampuan,Saç yıkamakta kullanılan sıvı sabun
Mübaşir,Mahkemenin işleyişini sağlayan görevli
Karakol,Şüphelilerin ilk sorgu noktası
Aparkat,"Boksta, aşağıdan yukarı doğru yapılan vuruş"
Sütgölü,Orta Asya mitolojisinde yaşamın kaynağı olan havuz
Çernezyom,Dünyanın en verimli zonal toprak türü
Boko haram,Nijerya kökenli radikal dinci terör örgütü
Karagöz,Hacivat'ın sabrını test eden arkadaşı
Pişmaniye,İzmit'e özgü bir şekerleme türü
Kedi kadın,Arada sırada Batman ile çalışan yetenekli kadın
Aralıksız,"Hiç boşluk olmadan, sürekli olarak"
Susturucu,Tabancanın sesini kesen aparat
Yağıbasan,Danişmentlilerin Tokat'ta inşa ettiği medrese
Arabulucu,Uyuşmazlık çözümleyicisi
