answer,kategori,question
Mürdüm,,Bir erik çeşidi
Eyalet,,"Bir ülkenin içinde, bağımsız yönetimi olan bölge"
Kerouac,,Jack __; Yolda adlı kitabın yazarı
Ophelia,,"Hamlet'e aşık olan, kara bahtlı oyun karakteri"
Arakiye,,Dervişlerin kafasındaki külah
Alışmış,,"Atalarımıza göre, kudurmuştan beter olan kişi"
Boynuzu,,Öküze __ yük olmaz
Pişekar,,Kavuklu'nun ekürisi
Porsche,,Logosunda at olan Alman otomobil markası
Malefiz,,Angelina Jolie'nin cadı rolünde olduğu film
Sapanca,,Aynı isimli gölü de olan Sakarya ilçesi
Zemheri,,Kış aylarının en soğuk ve şiddetli geçtiği zaman
Fanatik,,Bir takımın en coşkulu ve koyu taraftarı
Menemen,,"Yumurta, domates ve biberle yapılan yemek"
Vibriyo,,Koleraya sebep olan bakteri
Enstitü,,Genellikle üniversiteye bağlı araştırma kurumu
Dolaşım,,Vücutta damarların dahil olduğu sistem
Binici,,Atlı sporlarda atı kullanan kişi
Cariye,,Savaş ganimeti sayılan genç kadın köle
Format,,"__ atmak, işletim sistemini silip baştan kurmak"
Hitman,,Timothy Olyphant'in Ajan 47'yi canlandırdığı film
Lirizm,,Duyguların coşkulu şekilde anlatıldığı sanat akımı
Lionel,,"__ Messi, Barcelona'nın ünlü futbolcusu"
Korsan,,Gemilere saldıran haydut
Şehnaz,,"Perran Kutman'ın oynadığı dizi, __ Tango"
Delege,,Resmi bir kurumu temsil eden kimse
Püskül,,Halı kenarlarındaki iplik uzantısı
Tabiat,,Doğa
Davaro,,Memo ve Sülo'nun komik hikayesini anlatan film
Çekmek,,Bir şeyi tutarak kendine yaklaştırmak
Safari,,Afrika'da yapılan vahşi yaşam turu
Ebabil,,Uçarken uyuyabilmesiyle bilinen kuş türü
Mardin,,Midyat ilçesinin bağlı olduğu il
Bateri,,Davul ve zillerden oluşan enstrüman
Brokar,,Altın veya gümüş tel işlemeli kumaş
Yoğurt,,Mantının üstüne dökülür
Izotop,,"Atom numarası aynı, kütle numarası farklı atomlar"
Nafile,,"Boşu boşuna, yararsız anlamına gelen kelime"
Kahvaltı,,Sabahları yenilen hafif yemek
Narkotik,,Uyuşturucu ile mücadele eden emniyet şubesi
Madalyon,,Bir de öteki yüzü olduğu söylenen boyun takısı
Köstebek,,En hızlı tünel açan canlı
Foseptik,,Lağım çukuru da denilen atık deposu
Erlik han,,Eski Türk mitolojisinde yer altından sorumlu tanrı
Kahvaltı,,Güne başlama öğünü
Arıcılık,,Bal ve polen gibi ürünlerin elde edildiği iş alanı
Başkatip,,Noterde çalışan yazıcıların başındaki kişi
Dominant,,Baskın olan gen
Nostalji,,Geçmişe özlem duyma
Himalaya,,İçerisinde Everest'i de barındıran sıradağ
Tac mahal,,Şah Cihan'ın inşa ettirdiği anıt mezar
Motorola,,İlk cep telefonunu üreten Amerikan firması
Sahtekar,,"Düzmece işlerle insanları kandıran, düzenbaz"
Monopoly,,Zar kullanarak oynanan emlakçılık oyunu
Apartheid,,Güney Afrika Cumhuriyeti'ndeki ırkçılık politikası
Asım noyan,,Organize İşler filminin baş karakteri
Ayıplı mal,,"Bozuk, kusurlu, eksiklikleri olan ürün"
Hicvetmek,,Bir edebi eserde birini veya birilerini yermek
Sezen aksu,,Minik Serçe olarak anılan şarkıcı
Klavikula,,Köprücük kemiğinin tıptaki adı
Beyaz show,,Beyazıt Öztürk'ün sunduğu program
Özgü namal,,Kurtlar Vadisi'nde Avukat Elif rolündeki oyuncu
Periyodik,,"Kimyada elementleri sınıflandırır, __ tablo"
Triportör,,Üç tekerlekli küçük motorlu taşıt
Elverişli,,"Bir işi yapmaya uygun, işe yarar"
Bababurnu,,Anadolu topraklarının en batısındaki nokta
Komedyen,,İnsanları güldüren rolleri tercih eden oyuncu
Kamuflaj,,Askerlerin giydiği kıyafetlerin genel adı
Mazoşist,,"Acı çekmekten zevk alan, acı çekmek isteyen"
Matbaacı,,Kağıt basım işiyle uğraşan kişi
Pisi pisi,,Bir kediyi çağırırken kullanılan hitap
Darboğaz,,"Ekonomide sıkıntılı durum, kriz ortamı"
Komedyen,,İnsanları güldüren rolleri oynayan oyuncu
Eleştiri,,Bir sanat eserinin kritiğini yapan yazı
Celpname,,Mahkeme tarafından gönderilen çağrı belgesi
Bahtiyar,,"""İsmim Mesut, göbek adım __"", Zeki Müren sözü"
Armonika,,Bob Dylan'ın çaldığı ağız çalgısı
Macellan,,Dünyanın etrafını dolaşan ilk gezgin denizci
Falkland,,İngiltere ile Arjantin arasında yaşanan savaş
Selimiye,,Edirne'nin simgesi olan cami
Nitrojen,,Azot
Taraftar,,Bir spor kulübünü destekleyen kimse
Pisi pisi,,Bir kediyi çağırırken söylenen söz
Iskender,,Bursa'nın meşhur döner yemeği
Beleşçi,,Hesabı başkasına ödetmeyi seven kişi
Vertigo,,Şiddetli baş dönmesi yaşatan hastalık
Safsata,,"Aslı olmayan, gerçek dışı, boş söz"
Imtihan,,Sınav
Gameboy,,Nintendo'nun 90'lı yıllarda ürettiği oyun aleti
Şnitzel,,Etin galeta ununa bulanıp kızartıldığı bir yemek
Mutemet,,Para taşıma işi ile uğraşan devlet görevlisi
Ulysses,,Yazar James Joyce'un Tutunamayanlar'ı
Aselsan,,Altay tankını üreten savunma sanayii firması
Nişancı,,Osmanlı'nın tuğrasını taşıyan divan üyesi
Bilecik,,4 bölgede toprağı olan il
Kripton,,Süperman'in memleketi
Altıpas,,Futbolda kale sahasına verilen diğer isim
Müjde ar,,Atıf Yılmaz filmi Adı Vasfiye'nin Vasfiye'si
Meşruti,,"__ Monarşi, kralın ve meclisin olduğu sistem"
Twister,,Fiziksel hareketler ile oynanılan bir renk oyunu
Hemşeri,,Memleketleri aynı olan kişilerden her biri
Kid rock,,Asıl adı Robert James Ritchie olan şarkıcı
Almancı,,Avrupa'da işçi olarak çalışan Türklere verilen ad
Cinayet,,Bir insanı öldürme
Erozyon,,"Çeşitli nedenlerle, verimli toprakların aşınması"
Haddini,,__ bildirmek; Terbiyesiz bir kişiyi yola getirmek
Anadolu,,Türkiye'nin ilk haber ajansı
Iktisat,,"Kıt kaynakların etkin kullanımı, ekonomi"
Baharat,,Yemeğe tat ya da koku vermek için eklenen toz
Oyuncak,,"__ Hikayesi, John Lasseter'in yönettiği çizgi film"
Mülteci,,Bir ülkeden başka bir ülkeye giderek sığınan kişi
Iştirak,,Bir işe ya da eyleme dahil olma
Apollon,,"Didim'de bulunan, dünyaca ünlü antik tapınak"
Yeşilay,,Zararlı alışkanlıklarla mücadele eden kurum
Müjde ar,,Adı Vasfiye filminde Vasfiye'yi canlandıran aktris
Arakiye,,Dervişlerin giydiği külah
Kumanya,,Askerler için hazırlanan ve seferde yenilen yemek
Kamarot,,Gemilerdeki yolcularla ilgilenen görevli
Idadiye,,Osmanlı'da lise dengi okullara verilen ad
Axl rose,,Guns N Roses grubunun solisti
Anakart,,Bilgisayar parçalarının iletişimini sağlayan devre
Partner,,Bir işte ya da oyunda ortak hareket edilen kişi
Maorice,,Yeni Zelanda yerlilerinin konuştuğu dil
Angarya,,Bir kişiye görevi dışında yaptırılan yorucu iş
Burjuva,,Toplumda üst tabaka; kentsoylu
Garson,,Müşterilere yiyecek ve içecek servisi yapan kişi
Çapkını,,"Yalı __, kuşların en hovardası"
Ensesi,,"__ kalın; Çok parası olan, zengin"
Ankara,,Agustus Tapınağı bu ilin merkezindedir
Joanne,,Harry Potter'ın yazarı J. K. Rowling'in ön adı
Tiroit,,"__ bezi, boynun ön ve yanlarındaki iç salgı bezi"
Bakraç,,Kulplu ve derin bakır kap
Bodrum,,Halikarnas olarak da bilinen tatil kenti
Lejyon,,Roma İmparatorluğu'nda askeri bir birlik
Portre,,Bir kimsenin yağlı boya ile yapılmış resmi
Akraba,,Aralarında kan bağı olan kişilerin her biri
Yapboz,,Küçük parçalara bölünmüş resmi tamamlama oyunu
Perhiz,,"Deyimde, lahana turşusuyla çelişen beslenme düzeni"
Teleks,,Faks icat edilmeden önce kullanılan benzer sistem
Dolama,,Tırnak etrafında oluşan ağrılı şiş
Dernek,,Ortak bir amaç için kurulan yasal cemiyet
Kapora,,Bir malı alma garantisi için yapılan ön ödeme
Nötron,,Yüksüz atom parçacığı
Fayton,,Atların çektiği binek aracı
Ciklet,,"Sadece çiğnenen, tadı güzel şekerleme"
Reçete,,Doktorun ilaç yazıp hastaya verdiği kağıt
Evvela,,"Öncelikle, başlangıç olarak anlamına gelen kelime"
Görkem,,Görmek kelimesinin anagramı
Gaziantep,,Baklava deyince akla gelen kent
Hapşırmak,,"Bunu yapana ""Çok yaşa"" denir"
Adli tabip,,Polisle çok yakın çalışan doktor
Natürmort,,Genelde meyve ve çiçekleri resmeden sanat türü
Kardeşler,,"1976 yapımı Ertem Eğilmez filmi, Süt __"
Demokrasi,,Halk oylamasına dayalı siyasi sistem
Gaziantep,,Zeugma Mozaik Müzesi'nin bulunduğu il
Penisilin,,Alexander Fleming tarafından bulunan ilaç
Interbank,,Bankalar arası işlemlerin yapıldığı piyasa
Mikroskop,,Laboratuvarın demirbaşı
Revani,,İrmik ve yoğurtla yapılan Türk tatlısı
Tanksavar,,Zırhlı araçları etkisiz hale getiren bir silah
Sosyal,,"__ fobi, yeni insanlarla iletişim kurmaktan korkma"
Imralı,,Hapishane olarak kullanılan Marmara adası
Osurma,,Fasulye gibi şeyler yedikten sonra gaz çıkarma
Cemşat,,Baskette durmadan sıçrayarak yapılan atış
Başını,,"__ ağrıtmak; Sorun çıkarmak, sıkıntı yaratmak"
Sincap,,Uzun ve tüylü kuyruklu kemirgen
Mağrur,,Bir olay karşısında gururlu ve dik duran kişi
Havale,,Bir banka hesabından diğerine yapılan transfer
Feryat,,Yardım istemek için atılan çığlık
Dirsek,,Kolun ortasında bulunan eklem
Sipahi,,Osmanlı ordusundaki atlı asker sınıfı
Tezgah,,İş yapmak için kullanılan uzun ve geniş masa
Peplum,,Alt kısmında daralıp etek gibi açılan üst giysisi
Adliye,,Hukuki işlerin yürütüldüğü resmi yapı
Şömine,,Ev içinde ateş yakıp ısınmayı sağlayan ocak
Örtbas,,"Bir olayın üzerini örtmek, gizlemek"
Cümbüş,,"Türk müziğinde kullanılan, ud benzeri telli çalgı"
Kauçuk,,Lastik ağacından elde edilen dayanıklı esnek madde
Latmos,,Beşparmak Dağları'nın antik dönemdeki adı
Kontak,,Arabaları çalıştırmaya yarayan düzenek
Rektör,,Üniversitelerin en tepe yöneticisi
Granül,,Hazır satılan küçük tanecikli kahve türü
Stuart,,Küçük Kardeşim filmindeki farenin adı
Miyazaki,,"Hayao __, ünlü Japon animasyon yönetmeni"
Zorbalık,,Başkaları üzerinde zorla hakimiyet kurmak
Futbolcu,,Topçu da denen sporcu
Pansuman,,Yara temizliği ve bakımı
Lunapark,,Çeşitli oyun ve eğlence araçlarının olduğu alan
Damacana,,Dev su şişesi
Titikaka,,Dünyanın en yüksek rakımlı gölü
Kopenhag,,Küçük Deniz Kızı heykeline ev sahipliği yapan kent
Cengaver,,"Savaş becerileri yüksek olan, yetenekli asker"
Birazdan,,Az sonra
Bıçkıevi,,Tomruklardan kalas kesen ve düzelten iş yeri
Mutasyon,,Genetik olarak gerçekleşen kalıcı değişim
Çoğunluk,,2010 yapımı Seren Yüce filmi
Sandalye,,Oturmak için kullanılan bir eşya
Tazminat,,Maddi veya manevi zarara karşılık ödenen bedel
Yıkanmak,,"Suyla temizlenmek, banyo yapmak"
Anımsama,,"Eskiden olan bir şeyin akla gelmesi, hatırlama"
Barçak,,"Elin, kabzadan kılıca kaymasını önleyen çıkıntı"
Başlık,,Yazıyı tanıtan ve genelde tek cümle olan ilk kısım
Istiklal,,Türkiye'nin milli marşı
Kepenk,,Dükkanları korumak için kullanılan metal kapak
Yüz göz,,__ olmak; Gereksiz yere fazla samimi olmak
Evliya,,"__ Çelebi, Seyahatname'nin yazarı gezgin"
Konsol,,Play Station ve Xbox buna örnektir
Pusula,,Kuzey ve güneyi gösteren manyetik cihaz
Düzine,,Herhangi bir şeyden 12 tanesinin oluşturduğu grup
Tanker,,Sıvı maddeleri taşıyan ticari gemi
Müslüm,,Timuçin Esen'in başrolde oynadığı 2018 yapımı film
Konken,,Eski Türk filmlerinde kadınların oynadığı oyun
Balçık,,"Kil oranı yüksek, çamur toprak"
Kuyruk,,Köpekler mutlu olduklarında sallar
Çetele,,Eskiden esnafın hesap tutmakta kullandığı değnek
Nilgün,,Refik Halid Karay'ın üç ciltlik romanı
Nalbur,,Hırdavat malzemesi satan kişi
Italya,,Pizza ve makarna ülkesi
Saniye,,Dakikanın altmışta biri
Pusula,,Yönleri gösteren manyetik araç
Düşmanı,,"Can __; Nefret edilen kişi, hasım"
Bologna,,Dünyanın en eski üniversitesi
Kanarya,,"Evlerde, kafeste beslenebilen küçük bir kuş türü"
Torpido,,Denizaltılardan fırlatılan roket türü
Hababam,,"__ Sınıfı, seri filmi de yapılan Rifat Ilgaz eseri"
Athena,,Gökhan ve Hakan Özoğuz'un rock müzik grubu
Pegasus,,Yunan mitolojisinde yer alan kanatlı at
Muayene,,İnsanların hasta olup olmadığını anlama işlemi
Letonya,,Başkenti Riga olan Baltık ülkesi
Bologna,,Avrupa'nın en eski üniversitesi
Murtaza,,Orhan Kemal romanı
Kanarya,,"Sarı renkte, küçük bir ötücü kuş"
Atasoy,,"Kanıt dizisinin Adli Tıp profesörü, Sevil __"
Altyazı,,Yabancı filmin altından geçen çeviri cümlesi
Senfoni,,Numaralandırılan uzun klasik müzik yapıtı
Makarna,,Öğrenci evi yemeği
Yampiri,,"Eğri büğrü, yan yan yürüme şekli"
Pegasus,,Mitolojideki kanatlı at
Steınbeck,,"Gazap Üzümleri kitabının yazarı, John __"
Olimpiyat,,Dört yılda bir yapılan uluslararası spor yarışları
Deflasyon,,Piyasalarda para darlığı
Muayene,,"Doktorun, hastanın şikayetlerine baktığı işlem"
Uçaksavar,,Hava saldırılarını engelleyen savunma silahı
Oyunbozan,,Mızıkçı
Kadife,,Parlak ve yumuşak bir tür kumaş
Timsah,,"Derisi kalın, yırtıcı bir sürüngen"
Kamera,,Akıllı telefonlarda hem önde hem arkada bulunur
Ananas,,Birçok dilde aynı şekilde yazılan tropik meyve
Ganj nehri,,Hindu'ların ölülerini yakıp bıraktıkları kutsal su
Voleybol,,File ile ikiye bölünmüş alanda oynanan spor oyunu
Aplike,,Kumaştan alınan motifin başka bir kumaşa işlenmesi
Neonazi,,Hitler'e günümüzde hayran olan kişiye verilen ad
Ed harris,,Kaya filminde general Hummel rolündeki aktör
Baygınlık,,Geçici bilinç ve hareket kaybı durumu
Barbados,,Başkenti Bridgetown olan ülke
Dispanser,,Ayakta tedavi uygulama amaçlı sağlık kurumu
Manevra,,Askeri birliklerin savaş denemesi yapması
Korniş,,Perdeleri asılı tutan metal çubuk
Leylekler,,Bacalara ve direklere yuva yapan kuşlar
Akrabadan,,Sadık dost __ yeğdir
Hoşnutluk,,Durumdan memnun olma; memnuniyet
Hegemonya,,Başkası üzerine kurulan baskı
Çarketmek,,Önceden söylediği sözden farklı konuşmak
Kırmızıet,,Adana Kebap'ın ana malzemesi olan protein kaynağı
Çekişmeli,,"Son ana kadar başa baş giden, zorlu maç"
Bütünüyle,,"Tamamen, tamamıyla"
Içigeçmek,,Fark etmeden hafif uykuya dalmak
Kesimhane,,Mezbaha
Apartopar,,"Hazırlıksız bir şekilde, telaşla"
Iştirakçi,,"Bir işe ya da olaya katılan, ortak olan"
Dizanteri,,Bağırsakta yaralar olmasına neden olan hastalık
Sabretmek,,Zor veya sıkıcı bir duruma dayanmak
Denek taşı,,Ayarını anlamak için altının sürtüldüğü sert madde
Eş anlamlı,,Aynı manayı paylaşsa da farklı yazılan sözcük
Hafifleme,,"Ağırlıktan kurtulma, rahatlama"
Hükmen,,Maçın hakeminin kararı ile mağlup olmak
Kuaför,,Kadın saçı kesen kişi
Minnet,,Gönül borcu
Geçmek,,"İçi __, istemsiz uykuya dalmak"
Korniş,,Perde halkalarının geçirildiği ray
Rumeli,,Osmanlı döneminde Güney Balkanlara verilen ad
Islama,,Adapazarı yöresine özgü bir köfte türü
Hükmen,,Hakem kararı ile galip veya mağlup olma durumu
Alasya,,"Metin Akpınar'ın ekürisi, Zeki __"
Bengal,,Hindistan'ın sembolü olan kaplan türü
Trafik,,Çok fazla otomobilin yarattığı can sıkıcı olay
Doçent,,Üniversitelerde profesörden önceki aşamadaki kişi
Diyaliz,,Böbrek yetmezliği olanın yaptırdığı rutin işlem
Jackass,,MTV'nin haylaz çocukları; Juggalo Guy
Riviera,,Natürelden daha düşük kalitedeki zeytinyağı
Kubrick,,"Otomatik Portakal filminin yönetmeni, Stanley __"
Welton,,Ölü Ozanlar Derneği'nde konu edilen akademi
Kanarya,,Sevenleri dernek kuran ötücü kuş
Vermeer,,İnci Küpeli Kız'ı yapan ressam
Diyaliz,,Böbrek yetmezliğinde uygulanan bir tedavi türü
Jackass,,Çılgın denemelerin yapıldığı MTV programı
Yetenek,,Belli bir alanda gösterilen kabiliyet
Palanga,,Halat ve makaradan oluşan yük kaldırma düzeneği
Maşrapa,,"İçecek konulan küçük, kulplu, ağzı geniş kap"
Omnibüs,,Atlar tarafından çekilen eski toplu taşıma aracı
Manevra,,Araç park ederken yapılan ileri ve geri hareket
Arabesk,,Müslüm Gürses'in icra ettiği müzik tarzı
Fasikül,,Büyük eserlerin ayrı ayrı yayımlanan bölümleri
Istakoz,,"Suda yaşayan, beyaz eti için avlanan bir böcek"
Raptiye,,Kağıtları panoya tutturmaya yarayan küçük çivi
Haziran,,Yılın altıncı ayı
Kuantum,,Atomaltı seviye davranışları inceleyen fizik dalı
Emlakçı,,Kiralık ve satılık gayrimenkul aracısı
Vermeer,,İnci Küpeli Kız'ı tablosunun sahibi olan ressam
Tuvalet,,"Gece kıyafeti, abiye"
Protein,,Kas kütlesi oluşturmak için gerekli makro besin
Badminton,,Tüylü topla oynanan tenis benzeri spor
Saklambaç,,Önüm arkam sağım solum sobe diyerek başlanır
Dekoratif,,Süsleme amaçlı kullanılan eşyaların genel adı
Arzuhalci,,Mahkeme dilekçelerini ücret karşılığı yazan kişi
Egemenlik,,Hakimiyet
Yalpalama,,Dengesini kaybedip sağa sola kayma
Beyanname,,Vergi dairesine verilen gelir bildirme belgesi
Karadeniz,,İstanbul Boğazı'nın kuzeyinde kalan deniz
Thom yorke,,Radiohead adlı grubun kurucusu ve solisti
Doktorlar,,Tamamı hastanede geçen yerli dizi
Frankfurt,,Avrupa Merkez Bankası'nın bulunduğu şehir
Şekerpare,,Bir Türk filmine ismini vermiş tatlı
Mediatek,,Tayvan merkezli mikro işlemci üreticisi firma
Dağlamak,,"Isıtılmış demirle, hayvanları damgalamak"
Bahçıvan,,Bahçe bakımcısı
Kopenhag,,AB'ye girişte Türkiye'nin uyması gereken kriterler
Arabalar,,Şimşek McQueen karakterinin olduğu animasyon
Müneccim,,Eskiden yıldızlara göre kehanette bulunan kişi
Voleybol,,File ile ikiye bölünmüş alanda yapılan bir spor
Hastalık,,Sağlığın bozulması durumu
Lojistik,,Mal taşınmasının planlanması ve uygulanması
Kehribar,,Aslı fosilleşmiş sarı reçine olan değerli bir taş
Gergedan,,Tek ya da iki boynuzu olan büyük kara memelisi
Seremoni,,Resmi tören
Incirlik,,Bir hava üssünün bulunduğu Adana mahallesi
Sümerler,,Yazıyı bulan millet
Dingonun,,"__ ahırı; Ayakaltı, girip çıkanı belli olmayan yer"
Ertuğrul,,"Diriliş __, popüler Osmanlı dizisi"
Afetzede,,Kötü bir doğa olayında zarar gören kimse
Polifoni,,Çok seslilik
Mobilite,,"Taşınabilirlik, hareket edebilirlik"
Pantolon,,Uzun paçalı alt giyim eşyası
Brezilya,,Güney Amerika’nın en kalabalık ülkesi
Floransa,,Rönesans'ın başladığı İtalya kenti
Ödemekle,,"Yol yürümekle, borç __ biter"
Sevinmek,,Bir olay karşısında mutlu olmak
Protesto,,Bir uygulamayı haksız bularak karşı çıkma
Afetzede,,Bir doğa felaketinde zarar gören kimse
Ilkbahar,,Yazdan önce gelen mevsim
Şaklaban,,Sürekli şakalar ve espriler yapan kişi
Süpürge,,Temel temizlik gereci
Telefon,,Alexander Graham Bell'in icat ettiği aygıt
Antonov,,Mriya adlı nakliye uçağını üreten Ukraynalı firma
Chopper,,"Barış Manço'nun İngilizce şarkısı, Nick the __"
Tantuni,,Mersin'in meşhur et yemeği
Cefakar,,"Hayatı sıkıntılarla geçmiş, çok dert çekmiş kişi"
Esenlik,,Sağlıklı olma hali
Filolog,,Dil bilimci
Dretnot,,20. yüzyılda kullanılan bir savaş gemisi türü
Rutubet,,"Hava ya da ev içerisindeki nem, ıslaklık"
